# Signature: 3T3-L1
	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
CXCL5	2.594085	2.558528	2.361131	2.364070	2.715180	2.708975	2.302093	2.423063
CLCA1	3.594058	3.593794	4.391972	4.262121	4.384530	4.449811	4.354491	4.334179
IFI202B	0.254350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
 LOC100044068	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
 CLCA2	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
SLC35E3	2.576109	2.585893	2.711686	2.676093	2.726646	2.703157	2.735523	2.746787
FBLN2	5.291653	5.250676	4.360379	4.253259	4.666480	4.738660	4.799352	4.836834
GREM1	1.228494	0.692166	1.138470	0.962901	1.328245	1.192848	0.963704	1.129729
CDSN	1.448246	1.389762	1.076754	1.141645	1.230987	0.989185	1.166244	1.129729
VCAN	3.507314	3.566168	2.488605	2.409859	2.955425	2.871644	2.846024	2.933359
MDM2	3.300038	3.308640	3.183862	3.190872	3.171908	3.184703	3.145614	3.126255
FGF7	2.660118	2.681987	2.976637	2.951301	2.994243	3.022205	2.923312	2.908751
STEAP1	2.744405	2.801948	2.566049	2.634578	2.654876	2.456355	2.332570	2.391229
FIGF	3.777361	3.786363	4.195371	4.164730	4.220246	4.219258	4.209949	4.227282
SLIT2	3.600439	3.604511	2.885441	2.745196	2.988089	3.117988	3.220288	3.231190
ADAMTS1	3.528814	3.526141	3.833818	3.739621	4.032403	4.114261	4.108392	4.110451
MAGED2	3.644386	3.612622	3.523648	3.544242	3.551558	3.507798	3.443222	3.461761
PTN	2.467162	2.330638	2.624296	2.604097	2.453378	2.494510	2.557280	2.412709
 LOC100503923	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
PDGFRL	2.657843	2.652679	2.773875	2.735039	2.857864	2.864778	2.551763	2.608256
PDGFRA	3.615364	3.646459	3.733722	3.587136	3.987209	4.004876	3.970968	3.984962
CDKN2B	2.720725	2.706104	2.960906	3.019474	2.962562	2.980974	2.957780	2.944059
IGF2BP3	2.414571	2.444317	2.042698	1.953397	2.081434	2.077971	2.251950	2.244863
CXCL1	1.352123	1.340817	2.458008	2.656391	3.161160	3.524907	2.210136	2.361953
C1S1	2.164071	2.303274	3.730054	3.614863	3.653186	3.743844	3.628618	3.616564
TWIST2	2.517232	2.448380	2.500014	2.523868	2.508516	2.583494	2.514690	2.555565
 LOC101055758	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
OSMR	3.530448	3.550789	3.560111	3.460041	3.737696	3.750422	3.761574	3.771912
STEAP2	3.239719	3.267101	3.422275	3.323200	3.504263	3.455283	3.362787	3.350860
NPY1R	1.658834	1.795526	2.174665	2.108543	2.288520	2.318437	1.985184	1.988040
PTX3	3.744573	3.701964	3.216785	3.157222	3.437508	3.533648	3.331487	3.359744
CAPN6	1.681013	1.669874	1.723721	1.527952	1.651191	1.728551	1.899485	1.814175
EFEMP2	4.042627	4.053773	3.883019	3.893138	3.998014	4.013192	3.859468	3.900840
CYP1B1	3.974777	3.964900	3.862332	3.714894	4.056233	4.057340	4.007846	4.023411
SEMA3C	1.995330	1.927757	1.933141	1.852022	1.841088	1.780555	1.904443	1.963479
VCAM1	3.558858	3.628403	3.821103	3.696402	3.914128	3.923777	3.839382	3.820130
 APOL9B	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
C1RA	2.461225	2.431894	3.689059	3.597518	3.630219	3.711753	3.615873	3.598012
CWC22	2.417225	2.363813	2.258629	2.219568	2.224324	2.314360	2.290090	2.296720
IL1RAP	3.144610	3.127888	3.160440	2.979335	3.327440	3.358485	3.355345	3.329093
TBX18	3.210058	3.196237	2.802233	2.779407	2.884687	2.919439	2.976134	2.965120
P2RX3	0.989361	1.006551	0.572091	0.753966	0.869727	0.989185	0.744651	1.033692
VGLL3	3.773883	3.764168	3.633238	3.588971	3.659327	3.625359	3.711687	3.681727
FADS3	3.845705	3.858180	3.648169	3.613134	3.721794	3.737860	3.718700	3.735823
CXCL12	3.805309	3.809331	3.955202	3.874366	4.185844	4.238070	3.974925	4.013129
THBS2	3.578187	3.573506	3.560220	3.421225	3.786372	3.873838	3.705185	3.699952
TGFBR3	2.515125	2.539277	3.042024	2.952435	3.216667	3.269915	3.239395	3.235038
MMP14	3.991174	3.951712	3.653386	3.575692	3.819022	3.917949	3.913097	3.956429
 PRL2C4	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
HMGA2	2.403789	2.363813	1.846604	1.806942	1.834348	1.611506	1.899485	1.802131

# Signature: Allergic contact dermatitis
	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
XIST	2.573347	2.454405	3.274293	3.269625	2.745385	2.499887	2.797128	2.618628
SERPINB5	0.000000	0.000000	0.000000	0.336209	0.000000	0.000000	0.281241	0.276810
RPL28	3.393809	3.403494	3.170442	3.300935	3.226690	3.178026	3.047648	3.095363
RPL18A	3.687072	3.700722	3.560220	3.672687	3.535908	3.514826	3.402599	3.444161
RPL18AP3	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
MMP12	0.911990	0.946676	1.479359	1.480276	1.425432	1.350225	1.359113	1.429008
COPS4	3.115924	3.157322	3.089606	3.127608	3.096763	3.015735	2.956470	2.968880
CCNC	2.521415	2.490734	2.569261	2.568583	2.550962	2.505200	2.459299	2.451355
CCL19	0.413696	0.000000	1.708507	1.634225	1.532885	1.660324	1.166244	0.996299
VPS26A	3.178222	3.189683	3.457749	3.447906	3.434789	3.369808	3.403538	3.404840
EIF3L	3.613684	3.624646	3.355430	3.383451	3.415088	3.397228	3.365523	3.386629
LPAR6	2.276230	2.245994	2.163948	2.191101	2.107551	1.996686	2.056727	2.015042
SF3B14	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
RPL5	3.618205	3.649014	3.651978	3.781787	3.582719	3.501986	3.389407	3.398235
SELE	1.367227	1.365979	0.810673	1.294466	1.025824	1.310766	1.138391	1.314148
CCT8	3.736529	3.718126	3.538900	3.572580	3.583446	3.540151	3.535139	3.532319
FOLR1	1.897769	1.907159	1.997378	2.088313	1.967802	1.780555	1.766321	1.890255
A2M	1.771744	1.914134	2.897130	2.839937	3.030739	3.054676	2.976552	3.044642
LOC441461	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
LGALS3	2.796024	2.869053	3.126909	3.233516	3.128605	3.122471	2.900043	2.914446
RPL18	3.662960	3.685881	3.575838	3.690128	3.538601	3.453651	3.317812	3.349823
PLA2G2A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GNB2L1	4.526400	4.561722	4.368059	4.426129	4.371160	4.264842	4.153995	4.160504
LOC441454	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
RPL7	3.884380	3.920063	3.843400	3.918542	3.853243	3.737396	3.662433	3.657539
RNASE1	0.254350	0.000000	0.666927	0.000000	0.000000	0.295055	0.281241	0.000000
CST6	2.776222	2.832224	2.858341	2.991926	2.582407	2.509141	2.791410	2.796541
RPS24	3.434181	3.467781	3.562067	3.686591	3.498119	3.329802	3.244832	3.233909
RELL1	2.613878	2.614403	2.644496	2.582077	2.645534	2.670137	2.732604	2.675323
CCL17	1.602200	1.776949	1.540460	1.570907	1.407657	1.403409	1.042184	0.910204
RPS15	3.877145	3.872122	3.913520	4.041166	3.855837	3.787998	3.679811	3.702724
RPL23	3.681348	3.661819	3.645492	3.743395	3.607118	3.580257	3.506526	3.515518
LOC727820	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
S100A6	4.593897	4.597971	4.750875	4.901263	4.635111	4.558732	4.508666	4.506095
SH3YL1	1.841808	1.786337	2.005267	1.980770	1.891544	1.901929	1.959902	1.963479
NDUFA5	2.520373	2.487050	2.765809	2.885191	2.587233	2.499887	2.435291	2.455444
CAPZA1	3.276540	3.297335	3.191567	3.135110	3.208134	3.079995	3.160355	3.137684
SMPDL3A	2.634415	2.614403	3.639998	3.597261	3.544201	3.558979	3.379780	3.341262
CCDC152	1.055010	1.006551	2.402196	2.440367	2.380660	2.310244	2.296133	2.260018
VPS36	2.940132	2.887096	2.809042	2.795145	2.733554	2.724385	2.626087	2.638657
SFRS4	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
ATP5F1	3.462860	3.481674	3.520079	3.567938	3.458827	3.385216	3.359514	3.377634
MYC	2.778531	2.781777	2.950832	2.935104	3.055516	3.114756	2.751237	2.799623
CYB5R1	3.177533	3.172851	3.088317	3.138444	3.098615	3.037970	3.014128	3.001328
PM20D1	1.267548	1.412311	0.810673	0.962901	0.721999	0.989185	0.572028	0.737000
KDM3A	2.475340	2.466209	2.631751	2.563065	2.677874	2.728351	2.704629	2.702271
MTIF3	2.788211	2.781777	2.865411	2.956381	2.800876	2.787326	2.729665	2.753669
EIF1B	2.837655	2.818645	3.145133	3.204079	3.087761	3.066434	3.044803	3.057719
HPRT1	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
MT1M	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A

# Signature: Acne
	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
MMP1	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
MMP3	3.725155	3.802854	4.927233	4.897043	4.990596	4.813860	4.658761	4.706400
PM20D1	1.267548	1.412311	0.810673	0.962901	0.721999	0.989185	0.572028	0.737000
GAL	0.867436	0.692166	0.572091	0.336209	0.623685	0.768147	0.450531	0.444518
FABP7	0.761709	0.558090	1.408232	1.463146	1.282333	1.368686	0.281241	0.955381
CST6	2.776222	2.832224	2.858341	2.991926	2.582407	2.509141	2.791410	2.796541
HAL	0.000000	0.000000	0.000000	0.653815	0.496396	0.469136	0.281241	0.000000
CALML3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ELOVL3	0.000000	0.000000	0.450586	0.523421	0.496396	0.000000	0.572028	0.000000
THRSP	0.000000	0.000000	0.572091	0.000000	0.869727	0.689370	0.000000	0.565204
CA6	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
DEFB4A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
ACSBG1	0.989361	1.059162	0.744720	0.336209	0.623685	0.469136	0.000000	0.276810
MGP	4.025395	4.044493	5.350842	5.347456	5.175123	5.169890	5.169323	5.156431
SMPDL3A	2.634415	2.614403	3.639998	3.597261	3.544201	3.558979	3.379780	3.341262
KAP2.1B	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
KRTAP2-2	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
RPL28	3.393809	3.403494	3.170442	3.300935	3.226690	3.178026	3.047648	3.095363
COPS4	3.115924	3.157322	3.089606	3.127608	3.096763	3.015735	2.956470	2.968880
SF3B14	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
IL8	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
RNASE1	0.254350	0.000000	0.666927	0.000000	0.000000	0.295055	0.281241	0.000000
CTSZ	3.889895	3.870288	4.000683	4.007882	4.094626	4.101075	3.981993	4.016011
AWAT1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
VPS26A	3.178222	3.189683	3.457749	3.447906	3.434789	3.369808	3.403538	3.404840
SERPINB5	0.000000	0.000000	0.000000	0.336209	0.000000	0.000000	0.281241	0.276810
CCNC	2.521415	2.490734	2.569261	2.568583	2.550962	2.505200	2.459299	2.451355
FAR2	2.525559	2.549009	2.614795	2.649620	2.522667	2.451901	2.422022	2.420130
LGALS3	2.796024	2.869053	3.126909	3.233516	3.128605	3.122471	2.900043	2.914446
KRTAP3-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
S100A8	0.000000	0.000000	0.744720	0.653815	0.623685	0.295055	0.744651	0.000000
PLIN2	3.301940	3.313081	3.153549	3.181282	3.231616	3.278675	3.137042	3.123350
RELL1	2.613878	2.614403	2.644496	2.582077	2.645534	2.670137	2.732604	2.675323
FAM150B	0.530014	0.000000	0.918489	0.962901	0.623685	0.768147	0.572028	0.565204
LPAR6	2.276230	2.245994	2.163948	2.191101	2.107551	1.996686	2.056727	2.015042
AEBP2	2.916060	2.856594	2.692838	2.663058	2.718740	2.792125	2.864787	2.815305
HPRT1	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
VPS36	2.940132	2.887096	2.809042	2.795145	2.733554	2.724385	2.626087	2.638657
S100A6	4.593897	4.597971	4.750875	4.901263	4.635111	4.558732	4.508666	4.506095
S100A12	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
KRTAP4-9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KRT79	0.000000	0.363128	0.000000	0.000000	0.000000	0.295055	0.000000	0.000000
CXCL1	1.352123	1.340817	2.458008	2.656391	3.161160	3.524907	2.210136	2.361953
PDZRN3	3.408768	3.377862	2.966925	2.873124	3.038025	3.092805	3.125344	3.129715
LOC441461	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
CAPZA1	3.276540	3.297335	3.191567	3.135110	3.208134	3.079995	3.160355	3.137684
CYB5R1	3.177533	3.172851	3.088317	3.138444	3.098615	3.037970	3.014128	3.001328
DARC	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
SERPINB4	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
CRISPLD2	1.888929	1.990115	3.211954	3.082601	3.264870	3.357002	3.183259	3.167381

# Signature: Alopecia areata
	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
CDR1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RPLP2	3.556368	3.577730	3.449956	3.578649	3.453309	3.353834	3.236421	3.261272
FOLR1	1.897769	1.907159	1.997378	2.088313	1.967802	1.780555	1.766321	1.890255
TSIX	0.621667	1.006551	1.192497	0.000000	0.315566	0.469136	1.004715	0.802711
AHNAK	4.129240	4.185039	4.126647	4.119909	4.321099	4.260621	4.181364	4.232753
TAF13	2.415900	2.353873	2.493713	2.557477	2.419423	2.359086	2.392604	2.337735
CST6	2.776222	2.832224	2.858341	2.991926	2.582407	2.509141	2.791410	2.796541
RPPH1	1.435749	1.006551	0.810673	0.835294	0.496396	1.243916	0.744651	0.859775
PM20D1	1.267548	1.412311	0.810673	0.962901	0.721999	0.989185	0.572028	0.737000
ND6	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
FABP7	0.761709	0.558090	1.408232	1.463146	1.282333	1.368686	0.281241	0.955381
HIST1H3B	0.989361	1.222433	1.004791	1.061405	1.257419	1.192848	1.217103	0.955381
HIST1H4E	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A	%N/A
HIST1H2AE	1.248460	1.590121	1.408232	1.657175	1.305895	1.435560	1.303827	1.231655
ELOVL3	0.000000	0.000000	0.450586	0.523421	0.496396	0.000000	0.572028	0.000000
HIST1H1E	1.800045	1.838762	2.197854	2.153567	2.237945	2.152403	2.083649	1.980006
EIF3F	3.876686	3.864742	3.690514	3.743120	3.750900	3.728410	3.643703	3.663545
FOSB	1.494919	1.669874	2.271523	2.517748	3.599370	3.752444	2.339866	2.400565
